,타이틀,배급사,이미지링크,발매일
20,코아와 마라의 다섯 해적들,Pikii,https://images.ctfassets.net/sjvy5j5nlcjk/7001000006205495fd4afd056e11ee94d6cb80c73cafe6/a53944edf0927f70bc0b84fa7ec64d84/6fc6d1131e212b500e6e0d5e6453d84db4a2f6434a42c6da1b9b474ff9323af7.jpg?w=320&fm=webp,2023.8.10
21,Sea of Stars,Sabotage Studio,https://images.ctfassets.net/sjvy5j5nlcjk/35TWAgNBNPr3NRFfeIE2fj/a874e1a268f7b8ffdd61a4687093e4cb/5a8694e532f82bfb1065141c9c6f2647.jpg?w=320&fm=webp,2023.8.30
22,The Many Pieces of Mr. Coo,MERIDIEM GAMES,https://images.ctfassets.net/sjvy5j5nlcjk/70010000058318ad54ab8ce46d11ed978411d5515f35a4/6ee5f7f6d2179fd196395bbfb6797190/af43d4c0ef43fac89b9517047cfa88d8f5e2702ca446d0ee0265347906af934a.jpg?w=320&fm=webp,2023.9.7
23,SUPER BOMBERMAN R 2,KONAMI,https://images.ctfassets.net/sjvy5j5nlcjk/70010000051699f238abc9d7da11ed8b0d6d4cb0b20787/773424292f974412159f0a80763d6d32/56eca22f614043d45782432505ace8d2f63e0194033e8159ca111595616f4296.jpg?w=320&fm=webp,2023.9.14
24,Mineko's Night Market,Humble Games,https://images.ctfassets.net/sjvy5j5nlcjk/7sNFkB1UeNuCBzbNqvVV7b/2cff42a80490014b3891b2aafb7f42a0/b3d6d2ae7110ffdf2454bd1506edabcc.jpg?w=320&fm=webp,2023.9.26
25,Undying,Skystone Games,https://images.ctfassets.net/sjvy5j5nlcjk/3L6c9b0hnnGD3h1W7eM9L0/fe90d1a82b6fe11ad12bd4d4ea15b770/50cbbb08c80c243f9f6ba0d4b425503c.jpg?w=320&fm=webp,2023
26,Star Wars: Hunters™,Zynga Inc.,https://images.ctfassets.net/sjvy5j5nlcjk/4P9MD081gdrYKqScP8ggpF/249bfaa625c552bb400a3fbd7d76ae20/e6f8acac1d693e9018b8fe3893e89d71.jpg?w=320&fm=webp,2023
27,Brotato,Seaven Studio,https://images.ctfassets.net/sjvy5j5nlcjk/44kpDrot7IeijpN6Wb98Pm/c5616c34e8746ff654b2aed10d84f195/35ceed3a93d06afa307312f8e5f4ef59.jpg?w=320&fm=webp,2023
28,패션 드리머,Marvelous Inc.,https://images.ctfassets.net/sjvy5j5nlcjk/17eYFv121vF3TddyFsU7c6/4f43d93bff411297cfd065cf9267f6dd/2be41b50444e58b47f77d57eacd02c91.jpg?w=320&fm=webp,2023
29,Outer Wilds,Annapuma Interactive,https://images.ctfassets.net/sjvy5j5nlcjk/sHEMioCF8rEnZPI9oJyGP/43441a8344ab9bcaa6fe400eb9ba79cb/b216667fc83f443bbd50e12e0b298b35.jpg?w=320&fm=webp,미정
30,Chicory: A Colorful Tale,Finji,https://images.ctfassets.net/sjvy5j5nlcjk/7f9GyUG5AN5zXUz6BZGl2d/bc5580e730364496774e8f2df4a2ec98/054d4a8995c3a9e2a1e2a00c8d8fa7f7.jpg?w=320&fm=webp,2023
31,Baten Kaitos I & II HD Remaster,BANDAI NAMCO Entertainment,https://images.ctfassets.net/sjvy5j5nlcjk/2fDzb2gi10g6ZDceOnBnZ8/ebb4558552601abf8e5b7b0fc9e2a531/ebe173f90b0defb5ae1049c09e739f4f.jpg?w=320&fm=webp,2023 여름
32,SANABI,NEOWIZ,https://images.ctfassets.net/sjvy5j5nlcjk/3w9fi6T2XNdFUPdxdyqulY/79e183d0ae1fe36602e9738f0a32fade/ae39bca9cb4769971e447a09a3cd267c.jpg?w=320&fm=webp,2023 초
33,TerraTech,Payload Studios,https://images.ctfassets.net/sjvy5j5nlcjk/6Fm9sIWaS3dpDjJ4O0UWsa/1f5b2f22c02fb669cd0d4d86bc930cb4/3420dc5b35a631d2af6fe437fc7b07a3.jpg?w=320&fm=webp,미정
34,Dungeon Drafters,DANGEN Entertainment,https://images.ctfassets.net/sjvy5j5nlcjk/42d1u0eYb7ct1CQ89ZXxef/38a84d00725b1ebc412d85389b2bd68f/d5ae1d37b4c7c0cddad49b2a90419944.jpg?w=320&fm=webp,2023
35,Another Crab's Treasure,Aggro Crab,https://images.ctfassets.net/sjvy5j5nlcjk/1sSXuAqQK4Pd7DMaWkpKYk/27c5da4a0377dfaf139e075ebbb57163/f5d765c53bf968382f129273fa0424f4.jpg?w=320&fm=webp,2023
